Designator,MPN,Qty,Link
"R2,R1,R6,R5",301010361,4,
U2,TLV70218DBVT,1,https://www.mouser.com/ProductDetail/Texas-Instruments/TLV70218DBVT?qs=sGAEpiMZZMsGz1a6aV8DcK8%2fNbLQFTsJm3OjJFBXqD8%3d
U4,ICM-20948 ,1,https://www.mouser.com/ProductDetail/TDK-InvenSense/ICM-20948?qs=sGAEpiMZZMve4%2fbfQkoj%252bJwQU4m%252bZkcVSWoSqbKWYiU%3d
"R4,R9,R3",301010361,3,
"C12,C11,C6,C5,C4",302010138,5,
"C7,C2",302010139,2,
D3,APT1608VBC/D,1,https://www.digikey.com/product-detail/en/kingbright/APT1608VBC-D/754-1789-1-ND/4753613
Y1,CSTNE8M00G550000R0,1,https://www.mouser.com/ProductDetail/Murata-Electronics/CSTNE8M00G550000R0?qs=%2fha2pyFaduiEaWnbW%252bsA0BSFx1e9wkuuljMbjuWMTD2E8LLt1jXjF5KZc%2fNvKyTt
U3,ATMEGA328-AU ,1,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATMEGA328-AU?qs=sGAEpiMZZMvqv2n3s2xjse40PngS4U1x0lh%252bvvDKKQk%3d
U1, MIC5205-3.3YM5-TR ,1,https://www.mouser.com/ProductDetail/Microchip-Technology-Micrel/MIC5205-33YM5-TR?qs=%2fha2pyFadugo0ZxbbloBh4Biy97pPqTrrPaHF6IT8vammwduACB6HQ%3d%3d
SW2,B3U-1000P,1,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357
R8,301010364,1,
J5,DM3AT-SF-PEJM5 ,1,https://www.digikey.com/product-detail/en/DM3AT-SF-PEJM5/HR1964CT-ND/2533566
D1,APT1608SGC,1,https://www.mouser.com/ProductDetail/Kingbright/APT1608SGC?qs=JpELLRhtMc0UatanJWL9tA%3D%3D&gclid=EAIaIQobChMIo8vzyrm-3gIVyIizCh3KGAzREAAYAiAAEgL4D_D_BwE
"C9,C8",302010138,2,
C3,302020011,1,
C1,302020011,1,
C13,302010076,1,
R7,301010863,1,
U5,PCA9306DCUR,1,https://www.mouser.com/ProductDetail/Texas-Instruments/PCA9306DCUR?qs=sGAEpiMZZMsty6Jaj0%252bBBvkEAHn4ZEi0EeLKyAodziw%3d
